root_guess,variant_no,strong_stem,weak_stem,weak_only,attestation_texts,language_period,present_class,root,strong_attestations,strong_attestations_total,weak_attestations,weak_attestations_total
i,,inā,inī,True,V.,Earlier,ninth,i,,0,,0
iṣ,,iṣṇā,iṣṇī,False,,Earlier,ninth,iṣ 1,01.063.02,1,,0
ubh,,ubhnā,ubhnī,False,V.,Earlier,ninth,ubh,01.063.04 04.019.04,2,,0
uṣ,,uṣṇā,uṣṇī,False,V.,Earlier,ninth,uṣ,,0,,0
kṣi,,kṣiṇā,kṣiṇī,False,V.B.,Earlier,ninth,kṣī,04.018.12 10.027.04 10.027.13,3,,0
gr̥,2,gr̥ṇā,gr̥ṇī,False,V.S.,Earlier,ninth,gr̥,,0,,0
gr̥bh,,gr̥bhṇā,gr̥bhṇī,False,V.B.,Earlier,ninth,gr̥bhⁱ,01.055.02 01.163.02 03.030.05 05.031.07 07.101.03 07.103.04 09.078.01 09.083.04 10.085.36 10.145.04,10,09.046.04 09.106.03 10.062.01 10.062.02 10.062.03 10.062.04,6
jū,,junā,junī,False,V.,Earlier,ninth,jū,01.027.07 01.071.06 01.186.05 07.086.07,4,09.079.02,1
jī,,jinā,jinī,False,,Earlier,ninth,jyā,05.034.05 09.055.04 10.027.04,3,,0
dr̥,,dr̥ṇā,dr̥ṇī,True,B.,Earlier,ninth,dr̥,,0,,0
drū,,drūṇā,drūṇī,False,V.B.,Earlier,ninth,drū,,0,,0
pr̥,,pr̥ṇā,pr̥ṇī,False,,Earlier,ninth,pr̥̄ 1,01.125.05 02.030.07 03.006.02 04.018.05 06.047.15 07.013.02 08.064.04 10.002.04 10.028.02 10.045.06 10.055.03 10.095.05,12,01.023.21 05.005.05 07.065.04 10.009.07 10.117.05 10.117.09,6
pruṣ,,pruṣṇā,pruṣṇī,False,B.,Earlier,ninth,pruṣ,,0,,0
bhrī,,bhrīṇā,bhrīṇī,False,V.,Earlier,ninth,bhrī,,0,,0
mi mī,,minā mīnā,minī mīnī,False,V.B.,Earlier,ninth,mī 1,01.032.04 01.071.10 01.123.09 01.124.03 01.179.01 02.012.05 03.030.12 03.034.03 03.049.02 05.007.04 05.080.04 06.030.02 07.036.04 07.063.03 07.084.04 08.048.09 08.088.03 09.086.16 09.097.30 10.002.04 10.025.03 10.048.11 10.111.04,23,01.025.01 10.134.07,2
mr̥,,mr̥ṇā,mr̥ṇī,False,V.,Earlier,ninth,mr̥̄ 1,,0,04.004.05,1
ram,,ramṇā,ramṇī,False,V.B.,Earlier,ninth,ram,02.012.02 02.015.05 05.032.01 10.149.01,4,,0
ri,,riṇā,riṇī,False,,Earlier,ninth,rī,01.056.06 01.061.13 01.127.04 01.148.04 01.166.06 01.179.04 02.012.03 02.015.06 02.022.04 03.003.11 04.019.03 04.019.05 04.028.01 04.030.06 04.042.07 05.031.11 05.041.10 10.067.12 10.116.03 10.120.01,20,01.117.04 01.117.11 01.117.19 01.124.07 01.161.07 03.060.02 04.036.04 05.080.06 09.071.02,9
vr̥,1,vr̥ṇā,vr̥ṇī,True,V.,Earlier,ninth,vr̥,,0,,0
vli vlī,,vlinā vlīnā,vlinī vlīnī,False,B.,Earlier,ninth,vli vlī,,0,,0
śam,,śamnā,śamnī,True,B.,Earlier,ninth,śam,,0,,0
ścam,,ścamnā,ścamnī,True,V.,Earlier,ninth,ścam,,0,,0
śrath,,śrathnā,śrathnī,False,V.,Earlier,ninth,śrathⁱ,10.171.03,1,09.069.03,1
śrī,1,śrīṇā,śrīṇī,False,V.B.,Earlier,ninth,śrī,,0,05.006.09 08.002.11 09.011.06 09.046.04 10.061.03,5
śrī 2,2,śrīṇā,śrīṇī,False,V.B.,Earlier,ninth,śrī 2,,0,,0
si,,sinā,sinī,False,V.B.,Earlier,ninth,sā si,01.125.02,1,07.084.02,1
subh,,subhnā,subhnī,False,B.,Earlier,ninth,subh,,0,,0
skabh,,skabhnā,skabhnī,False,V.B.,Earlier,ninth,skambhⁱ,10.006.03,1,,0
spr̥,,spr̥ṇā,spr̥ṇī,False,B.,Earlier,ninth,spr̥,,0,,0
hr̥,,hr̥ṇā,hr̥ṇī,False,V.B.,Earlier,ninth,hr̥̄,,0,02.033.15 07.086.03 07.104.14 08.002.19,4
hru,,hrunā,hrunī,False,V.,Earlier,ninth,hru,,0,,0
aś,2,aśnā,aśnī,False,,Earlier & Later,ninth,aś,,0,,0
krī,,krīṇā,krīṇī,False,,Earlier & Later,ninth,krī,04.024.10,1,,0
