line_no,stem,stem_type,root,variant_no,weak_only,attestation_texts,language_period,book,hymn,stanza,pada_id,pada_label,word,word_position_no,word_position,text_padapatha,text_samhitapatha,meter_scansion,meter_name
01.063.02.d,iṣṇā,strong,iṣ 1,,False,,Earlier,01,01.063,01.063.02,d,M,iṣṇā́si,2,intermediate,púraḥ iṣṇā́si= puruhūta pūrvī́ḥ,púra iṣṇā́si puruhūta pūrvī́ḥ,SS LLS SSLS LL,Triṣṭubh
01.063.04.b,ubhnā,strong,ubh,,False,V.,Earlier,01,01.063,01.063.04,b,Mh,ubhnā́ḥ,5,,vr̥trám yát vajrin= vr̥ṣakarman ubhnā́ḥ,vr̥tráṁ yád vajrin vr̥ṣakarman ubhnā́ḥ,LL L LL SSLS LL,Triṣṭubh
04.018.12.d,kṣiṇā,strong,kṣī,,False,V.B.,Earlier,04,04.018,04.018.12,d,P,ákṣiṇāḥ,3,intermediate,yát prá ákṣiṇāḥ= pitáram pādagŕ̥hya,yát prā́kṣiṇāḥ pitáram pādagŕ̥hya,L LSL SSL LSLS,Triṣṭubh
01.010.04.b,gr̥ṇī,weak,gr̥̄ 1,2,False,V.S.,Earlier,01,01.010,01.010.04,b,M,gr̥ṇīhi,2,intermediate,abhí gr̥ṇīhi ā́ ruva,abhí gr̥ṇīhi ā́ ruva,SS SLS L SS,Aṇuṣṭubh
01.048.04.d,gr̥ṇā,strong,gr̥̄ 1,2,False,V.S.,Earlier,01,01.048,01.048.04,d,M,gr̥ṇāti,2,verse final,nā́ma gr̥ṇāti nr̥ṇā́m,nā́ma gr̥ṇāti nr̥r̥ṇáam+,LS SLS SSSL,
09.046.04.b,gr̥bhṇī,weak,gr̥bhⁱ,,False,V.B.,Earlier,09,09.046,09.046.04,b,MO,gr̥bhṇīta,2,verse final,śukrā́ gr̥bhṇīta manthínā,śukrā́ gr̥bhṇīta manthínā,LL LLS LSL,Gāyatrī
01.055.02.b,gr̥bhṇā,strong,gr̥bhⁱ,,False,V.B.,Earlier,01,01.055,01.055.02,b,M,gr̥bhṇāti,2,intermediate,práti gr̥bhṇāti= víśritāḥ} várīmabhiḥ,práti gr̥bhṇāti víśritā várīmabhiḥ,SS LLS LSL SLSL,Jagatī
09.079.02.b,junī,weak,jū,,False,V.,Earlier,09,09.079,09.079.02,b,M,junīmási,5,,dhánā vā yébhiḥ= árvataḥ} junīmási,dhánā vā yébhir árvato junīmási,SL L LS LSL SLSS,Jagatī
01.027.07.b,junā,strong,jū,,False,V.,Earlier,01,01.027,01.027.07,b,M,junā́ḥ,4,,ávāḥ vā́jeṣu yám junā́ḥ,ávā vā́jeṣu yáṁ junā́ḥ,SL LLS L SL,Gāyatrī
05.034.05.c,jinā,strong,jyā,,False,,Earlier,05,05.034,05.034.05,c,M,jinā́ti,1,intermediate,jinā́ti vā ít= amuyā́ hánti vā dhúniḥ,jinā́ti véd amuyā́ hánti vā dhúnir,SLS L SSL LS L SL,Jagatī
