line_no,stem,stem_type,root_guess,variant_no,weak_only,attestation_texts,language_period,root,book,hymn,stanza,pada_id,pada_label,word,word_position_no,word_position,word_gloss,text_padapatha,text_samhitapatha,meter_scansion,stanza_meter,stanza_strata,stanza_late_addition,hymn_absolute_no,hymn_addressee,hymn_group,meter_scansion_custom,meter_has_restorations,meter_caesura_position,meter_syllables_count,meter_syllables,meter_notes,meter_scansions_match
01.063.02.d,iṣṇā,strong,iṣ,,False,,Earlier,iṣ 1,1,1.063,01.063.02,d,M,iṣṇā́si,2,intermediate,2.SG.PRS.IND.ACT,púraḥ iṣṇā́si= puruhūta pūrvī́ḥ,púra iṣṇā́si puruhūta pūrvī́ḥ,SS LLS SSLS LL,Triṣṭubh,A,,63,Indra,"Hymns of Nodhas, Descendant of Gotama","SS LLS ,SS|LS LL",False,5,11,"['pú', 'ra', 'iṣ', 'ṇā́', 'si', 'pu', 'ru', 'hū', 'ta', 'pūr', 'vī́ḥ']",,True
01.063.04.b,ubhnā,strong,ubh,,False,V.,Earlier,ubh,1,1.063,01.063.04,b,Mh,ubhnā́ḥ,5,,3.SG.PRS.INJ.ACT,vr̥trám yát vajrin= vr̥ṣakarman ubhnā́ḥ,vr̥tráṁ yád vajrin vr̥ṣakarman ubhnā́ḥ,LL L LL SSLS LL,Triṣṭubh,A,,63,Indra,"Hymns of Nodhas, Descendant of Gotama","LL L LL ,SS|LS_LL",False,5,11,"['vr̥t', 'ráṁ', 'yád', 'vaj', 'rin', 'vr̥', 'ṣa', 'kar', 'ma', 'n ubh', 'nā́ḥ']",,True
04.019.04.c,ubhnā,strong,ubh,,False,V.,Earlier,ubh,4,4.019,04.019.04,c,M,aubhnāt,2,intermediate,3.SG.IPRF.IND.ACT,dr̥ḷhā́ni aubhnāt= uśámānaḥ ójaḥ,dr̥r̥ḷhā́ni+ aubhnād uśámāna ójo,SLLS LL SSLS LL,,S,,315,Indra,Hymns to Indra,SSLS LL_SSLS LL,True,-1,12,"['dr̥', 'r̥', 'ḷhā́', 'ni', 'aubh', 'nā', 'd u', 'śá', 'mā', 'na', 'ó', 'jo']",,False
04.018.12.d,kṣiṇā,strong,kṣi,,False,V.B.,Earlier,kṣī,4,4.018,04.018.12,d,P,ákṣiṇāḥ,3,intermediate,2.SG.IPRF.IND.ACT,yát prá ákṣiṇāḥ= pitáram pādagŕ̥hya,yát prā́kṣiṇāḥ pitáram pādagŕ̥hya,L LSL SSL LSLS,Triṣṭubh,P,"['Grassmann (G)', 'Arnold (C1)']",314,"Dialogue Between Indra, Aditi and Vamadeva",Hymns to Indra,"L LSL ,SSL |LSLS",False,4,11,"['yát', 'prā́k', 'ṣi', 'ṇāḥ', 'pi', 'tá', 'ram', 'pā', 'da', 'gŕ̥h', 'ya']",,True
10.027.04.d,kṣiṇā,strong,kṣi,,False,V.B.,Earlier,kṣī,10,10.027,10.027.04,d,P,kṣiṇām,3,intermediate,1.SG.PRS.INJ.ACT,prá tám kṣiṇām= párvate-_ pādagŕ̥hya,prá táṁ kṣiṇām párvate pādagŕ̥hya,S L SL LSL LSLS,Triṣṭubh,P,['Arnold (C1)'],853,Indra,The Vasukra Hymns,"S L SL ,LSL |LSLS",False,4,11,"['prá', 'táṁ', 'kṣi', 'ṇām', 'pár', 'va', 'te', 'pā', 'da', 'gŕ̥h', 'ya']",,True
10.027.13.c,kṣiṇā,strong,kṣi,,False,V.B.,Earlier,kṣī,10,10.027,10.027.13,c,P,kṣiṇāti,4,,3.SG.PRS.IND.ACT,ā́sīnaḥ ūrdhvā́m= upási} kṣiṇāti,ā́sīna ūrdhvā́m upási kṣiṇāti,LLS LL SSL SLS,Triṣṭubh,P,['Arnold (C1)'],853,Indra,The Vasukra Hymns,LLS LL_SS|_LSLS,False,0,11,"['ā́', 'sī', 'na', 'ūr', 'dhvā́', 'm u', 'pá', 'si k', 'ṣi', 'ṇā', 'ti']",,True
09.046.04.b,gr̥bhṇī,weak,gr̥bh,,False,V.B.,Earlier,gr̥bhⁱ,9,9.046,09.046.04,b,MO,gr̥bhṇīta,2,verse final,2.PL.PRS.IND.ACT,śukrā́ gr̥bhṇīta manthínā,śukrā́ gr̥bhṇīta manthínā,LL LLS LSL,Gāyatrī,N,,758,Soma,Tirasci and Other Poets,LL LL|S LSL,False,-1,8,"['śuk', 'rā́', 'gr̥bh', 'ṇī', 'ta', 'man', 'thí', 'nā']",,True
09.106.03.b,gr̥bhṇī,weak,gr̥bh,,False,V.B.,Earlier,gr̥bhⁱ,9,9.106,09.106.03,b,MR,gr̥bhṇīta,2,verse final,3.SG.PRS.INJ.MED,grābhám gr̥bhṇīta sānasím,grābháṁ gr̥bhṇīta sānasím,LL LLS LSL,,A,,818,Soma,The Usnih Group,LL LLS LSL,False,-1,8,"['grā', 'bháṁ', 'gr̥bh', 'ṇī', 'ta', 'sā', 'na', 'sím']",,True
10.062.01.d,gr̥bhṇī,weak,gr̥bh,,False,V.B.,Earlier,gr̥bhⁱ,10,10.062,10.062.01,d,M,gr̥bhṇīta,2,intermediate,2.PL.PRS.IND.ACT,práti gr̥bhṇīta= mānavám} sumedhasaḥ,práti gr̥bhṇīta mānaváṁ sumedhasaḥ,SS LLS LSL SLSL,,C,['Arnold (C1)'],888,"All the Gods or the Angiras, Thanksgiving to Savarni",Nabhanedistha Hymns,SS LLS LSL SLSL,False,-1,12,"['prá', 'ti', 'gr̥bh', 'ṇī', 'ta', 'mā', 'na', 'váṁ', 'su', 'me', 'dha', 'saḥ']",,True
10.062.02.d,gr̥bhṇī,weak,gr̥bh,,False,V.B.,Earlier,gr̥bhⁱ,10,10.062,10.062.02,d,M,gr̥bhṇīta,2,intermediate,2.PL.PRS.IND.ACT,práti gr̥bhṇīta= mānavám} sumedhasaḥ,práti gr̥bhṇīta mānaváṁ sumedhasaḥ,SS LLS LSL SLSL,,C,['Arnold (C1)'],888,"All the Gods or the Angiras, Thanksgiving to Savarni",Nabhanedistha Hymns,SS LLS LSL SLSL,False,-1,12,"['prá', 'ti', 'gr̥bh', 'ṇī', 'ta', 'mā', 'na', 'váṁ', 'su', 'me', 'dha', 'saḥ']",,True
