01.001.01a | agním īḷe-_ puróhitam
01.001.01b | yajñásya devám r̥tvíjam
01.001.01c | hótāram ratnadhā́tamam

01.001.02a | agníḥ pū́rvebhiḥ ŕ̥ṣibhiḥ
01.001.02b | ī́ḍyaḥ nū́tanaiḥ utá
01.001.02c | sá devā́n ā́ ihá vakṣati

01.001.03a | agnínā rayím aśnavat
01.001.03b | póṣam evá divé-dive-_
01.001.03c | yaśásam vīrávattamam

01.001.04a | ágne-_ yám yajñám adhvarám
01.001.04b | viśvátaḥ paribhū́ḥ ási
01.001.04c | sáḥ ít devéṣu gacchati

01.001.05a | agníḥ hótā kavíkratuḥ
01.001.05b | satyáḥ citráśravastamaḥ
01.001.05c | deváḥ devébhiḥ ā́ gamat

01.001.06a | yát aṅgá dāśúṣe-_ tvám
01.001.06b | ágne-_ bhadrám kariṣyási
01.001.06c | táva ít tát satyám aṅgiraḥ

01.001.07a | úpa tvā agne-_ divé-dive-_
01.001.07b | dóṣāvastar dhiyā́ vayám
01.001.07c | námaḥ bhárantaḥ ā́ imasi

01.001.08a | rā́jantam adhvarā́ṇām
01.001.08b | gopā́m r̥tásya dī́divim
01.001.08c | várdhamānam své-_ dáme-_

01.001.09a | sá naḥ pitā́ iva sūnáve-_
01.001.09b | ágne-_ sūpāyanáḥ bhava
01.001.09c | sácasvā+ naḥ svastáye-_

01.002.01a | vā́yo ā́ yāhi darśata
01.002.01b | imé?_ sómāḥ áraṁkr̥tāḥ
01.002.01c | téṣām pāhi śrudhī́-_+ hávam

01.002.02a | vā́yo ukthébhiḥ jarante-_
01.002.02b | tvā́m ácchā+ jaritā́raḥ
01.002.02c | sutásomāḥ aharvídaḥ

01.002.03a | vā́yo táva prapr̥ñcatī́?_
01.002.03b | dhénā jigāti dāśúṣe-_
01.002.03c | urūcī́?_ sómapītaye-_

01.002.04a | índravāyū+_ imé?_ sutā́ḥ
01.002.04b | úpa práyobhiḥ ā́ gatam
01.002.04c | índavaḥ vām uśánti hí

01.002.05a | vā́yo índraḥ ca cetathaḥ
01.002.05b | sutā́nām vājinīvasū+_
01.002.05c | taú ā́ yātam úpa dravát

01.002.06a | vā́yo índraḥ ca sunvatáḥ
01.002.06b | ā́ yātam úpa niṣkr̥tám
01.002.06c | makṣū́-_+ itthā́ dhiyā́ narā

01.002.07a | mitrám huve-_ pūtádakṣam
01.002.07b | váruṇam ca riśā́dasam
01.002.07c | dhíyam ghr̥tā́cīm sā́dhantā

01.002.08a | r̥téna mitrāvaruṇau
01.002.08b | r̥tāvr̥dhau r̥taspr̥śā
01.002.08c | krátum br̥hántam āśāthe-_

01.002.09a | kavī́+_ naḥ mitrā́váruṇā
01.002.09b | tuvijātaú urukṣáyā
01.002.09c | dákṣam dadhāte?_ apásam

01.003.01a | áśvinā yájvarīḥ íṣaḥ
01.003.01b | drávatpāṇī+_ śúbhaḥ patī+_
01.003.01c | púrubhujā canasyátam

01.003.02a | áśvinā púrudaṁsasā
01.003.02b | nárā śávīrayā dhiyā́
01.003.02c | dhíṣṇyā vánatam gíraḥ

01.003.03a | dásrā yuvā́kavaḥ sutā́ḥ
01.003.03b | nā́satyā vr̥ktábarhiṣaḥ
01.003.03c | ā́ yātam rudravartanī+_

01.003.04a | índra ā́ yāhi citrabhāno
01.003.04b | sutā́ḥ imé?_ tvāyávaḥ
01.003.04c | áṇvībhiḥ tánā pūtā́saḥ

01.003.05a | índra ā́ yāhi dhiyā́ iṣitáḥ
01.003.05b | víprajūtaḥ sutā́vataḥ
01.003.05c | úpa bráhmāṇi vāghátaḥ

