01.001.01a | agním īḷe puróhitaṁ
01.001.01b | yajñásya devám r̥tvíjam
01.001.01c | hótāraṁ ratnadhā́tamam

01.001.02a | agníḥ pū́rvebhir ŕ̥ṣibhir
01.001.02b | ī́ḍiyo nū́tanair utá
01.001.02c | sá devā́m̐ éhá vakṣati

01.001.03a | agnínā rayím aśnavat
01.001.03b | póṣam evá divé-dive
01.001.03c | yaśásaṁ vīrávattamam

01.001.04a | ágne yáṁ yajñám adhvaráṁ
01.001.04b | viśvátaḥ paribhū́r ási
01.001.04c | sá íd devéṣu gachati

01.001.05a | agnír hótā kavíkratuḥ
01.001.05b | satyáś citráśravastamaḥ
01.001.05c | devó devébhir ā́ gamat

01.001.06a | yád aṅgá dāśúṣe tuvám
01.001.06b | ágne bhadráṁ kariṣyási
01.001.06c | távét tát satyám aṅgiraḥ

01.001.07a | úpa tvāgne divé-dive
01.001.07b | dóṣāvastar dhiyā́ vayám
01.001.07c | námo bháranta émasi

01.001.08a | rā́jantam adhvarā́ṇaaṁ
01.001.08b | gopā́m r̥tásya dī́divim
01.001.08c | várdhamānaṁ suvé dáme

01.001.09a | sá naḥ pitéva sūnáve
01.001.09b | ágne sūpāyanó bhava
01.001.09c | sácasvā naḥ suastáye

01.002.01a | vā́yav ā́ yāhi darśata
01.002.01b | imé sómā áraṁkr̥tāḥ
01.002.01c | téṣām pāhi śrudhī́ hávam

01.002.02a | vā́ya ukthébhir jarante
01.002.02b | tuvā́m áchā jaritā́raḥ
01.002.02c | sutásomā aharvídaḥ

01.002.03a | vā́yo táva prapr̥ñcatī́
01.002.03b | dhénā jigāti dāśúṣe
01.002.03c | urūcī́ sómapītaye

01.002.04a | índravāyū imé sutā́
01.002.04b | úpa práyobhir ā́ gatam
01.002.04c | índavo vām uśánti hí

01.002.05a | vā́yav índraś ca cetathaḥ
01.002.05b | sutā́nāṁ vājinīvasū
01.002.05c | tā́v ā́ yātam úpa dravát

01.002.06a | vā́yav índraś ca sunvatá
01.002.06b | ā́ yātam úpa niṣkr̥tám
01.002.06c | makṣú itthā́ dhiyā́ narā

01.002.07a | mitráṁ huve pūtádakṣaṁ
01.002.07b | váruṇaṁ ca riśā́dasam
01.002.07c | dhíyaṁ ghr̥tā́cīṁ sā́dhantā

01.002.08a | r̥téna mitrāvaruṇāv
01.002.08b | r̥tāvr̥dhāv r̥taspr̥śā
01.002.08c | krátum br̥hántam āśathe@

01.002.09a | kavī́ no mitrā́váruṇā
01.002.09b | tuvijātā́ urukṣáyā
01.002.09c | dákṣaṁ dadhāte apásam

01.003.01a | áśvinā yájvarīr íṣo
01.003.01b | drávatpāṇī śúbhas patī
01.003.01c | púrubhujā canasyátam

01.003.02a | áśvinā púrudaṁsasā
01.003.02b | nárā śávīrayā dhiyā́
01.003.02c | dhíṣṇiyā vánataṁ gíraḥ

01.003.03a | dásrā yuvā́kavaḥ sutā́
01.003.03b | nā́satyā vr̥ktábarhiṣaḥ
01.003.03c | ā́ yātaṁ rudravartanī

01.003.04a | índrā́ yāhi citrabhāno
