line_no,labels,strata,strata_based_on_meter_only
01.001.01.a,MO,N,False
01.001.01.b,MO,N,False
01.001.01.c,MO,N,False
01.001.02.a,MO,N,False
01.001.02.b,MO,N,False
01.001.02.c,MO,N,False
01.001.03.a,MO,N,False
01.001.03.b,MO,N,False
01.001.03.c,MO,N,False
01.001.04.a,MO,N,False
01.001.04.b,MO,N,False
01.001.04.c,MO,N,False
01.001.05.a,MO,N,False
01.001.05.b,MO,N,False
01.001.05.c,MO,N,False
01.001.06.a,MO,N,False
01.001.06.b,MO,N,False
01.001.06.c,MO,N,False
01.001.07.a,MO,N,False
01.001.07.b,MO,N,False
01.001.07.c,MO,N,False
01.001.08.a,MO,N,False
01.001.08.b,MO,N,False
01.001.08.c,MO,N,False
01.001.09.a,MO,N,False
01.001.09.b,MO,N,False
01.001.09.c,MO,N,False
01.002.01.a,MO,S,False
01.002.01.b,MO,S,False
01.002.01.c,MO,S,False
01.002.02.a,MOT,S,False
01.002.02.b,MOT,S,False
01.002.02.c,MOT,S,False
01.002.03.a,MO,S,False
01.002.03.b,MO,S,False
01.002.03.c,MO,S,False
01.002.04.a,MO,S,False
01.002.04.b,MO,S,False
01.002.04.c,MO,S,False
01.002.05.a,MO,S,False
01.002.05.b,MO,S,False
01.002.05.c,MO,S,False
01.002.06.a,MO,S,False
01.002.06.b,MO,S,False
01.002.06.c,MO,S,False
01.002.07.a,MOT,S,False
01.002.07.b,MOT,S,False
01.002.07.c,MOT,S,False
01.002.08.a,MO,S,False
01.002.08.b,MO,S,False
01.002.08.c,MO,S,False
01.002.09.a,MO,S,False
01.002.09.b,MO,S,False
01.002.09.c,MO,S,False
01.003.01.a,MO,S,False
01.003.01.b,MO,S,False
01.003.01.c,MO,S,False
01.003.02.a,MO,S,False
01.003.02.b,MO,S,False
01.003.02.c,MO,S,False
01.003.03.a,MO,S,False
01.003.03.b,MO,S,False
01.003.03.c,MO,S,False
01.003.04.a,MOT,N,False
01.003.04.b,MOT,N,False
01.003.04.c,MOT,N,False
01.003.05.a,MOT,N,False
01.003.05.b,MOT,N,False
01.003.05.c,MOT,N,False
01.003.06.a,MOT,N,False
01.003.06.b,MOT,N,False
01.003.06.c,MOT,N,False
01.003.07.a,MO,S,False
01.003.07.b,MO,S,False
01.003.07.c,MO,S,False
01.003.08.a,MO,S,False
01.003.08.b,MO,S,False
01.003.08.c,MO,S,False
01.003.09.a,MO,S,False
01.003.09.b,MO,S,False
01.003.09.c,MO,S,False
01.003.10.a,MO,S,False
01.003.10.b,MO,S,False
01.003.10.c,MO,S,False
01.003.11.a,MO,S,False
01.003.11.b,MO,S,False
01.003.11.c,MO,S,False
01.003.12.a,MO,S,False
01.003.12.b,MO,S,False
01.003.12.c,MO,S,False
01.004.01.a,MO,S,True
01.004.01.b,MO,S,True
01.004.01.c,MO,S,True
01.004.02.a,MO,S,True
01.004.02.b,MO,S,True
01.004.02.c,MO,S,True
01.004.03.a,MO,S,True
01.004.03.b,MO,S,True
01.004.03.c,MO,S,True
01.004.04.a,MO,S,True
01.004.04.b,MO,S,True
01.004.04.c,MO,S,True
01.004.05.a,MO,S,True
01.004.05.b,MO,S,True
01.004.05.c,MO,S,True
01.004.06.a,MO,S,True
01.004.06.b,MO,S,True
01.004.06.c,MO,S,True
01.004.07.a,MO,S,True
01.004.07.b,MO,S,True
01.004.07.c,MO,S,True
01.004.08.a,MO,S,True
01.004.08.b,MO,S,True
01.004.08.c,MO,S,True
01.004.09.a,MO,S,True
01.004.09.b,MO,S,True
01.004.09.c,MO,S,True
01.004.10.a,MO,S,True
01.004.10.b,MO,S,True
01.004.10.c,MO,S,True
01.005.01.a,MO,S,True
01.005.01.b,MO,S,True
