root_guess,variant_no,strong_stem,weak_stem,weak_only,attestation_texts,language_period,present_class
i,,inā,inī,True,V.,Earlier,ninth
iṣ,,iṣṇā,iṣṇī,False,,Earlier,ninth
ubh,,ubhnā,ubhnī,False,V.,Earlier,ninth
uṣ,,uṣṇā,uṣṇī,False,V.,Earlier,ninth
kṣi,,kṣiṇā,kṣiṇī,False,V.B.,Earlier,ninth
gr̥,2,gr̥ṇā,gr̥ṇī,False,V.S.,Earlier,ninth
gr̥bh,,gr̥bhṇā,gr̥bhṇī,False,V.B.,Earlier,ninth
jū,,junā,junī,False,V.,Earlier,ninth
jī,,jinā,jinī,False,,Earlier,ninth
dr̥,,dr̥ṇā,dr̥ṇī,True,B.,Earlier,ninth
drū,,drūṇā,drūṇī,False,V.B.,Earlier,ninth
pr̥,,pr̥ṇā,pr̥ṇī,False,,Earlier,ninth
pruṣ,,pruṣṇā,pruṣṇī,False,B.,Earlier,ninth
bhrī,,bhrīṇā,bhrīṇī,False,V.,Earlier,ninth
mi mī,,minā mīnā,minī mīnī,False,V.B.,Earlier,ninth
mr̥,,mr̥ṇā,mr̥ṇī,False,V.,Earlier,ninth
ram,,ramṇā,ramṇī,False,V.B.,Earlier,ninth
ri,,riṇā,riṇī,False,,Earlier,ninth
vr̥,1,vr̥ṇā,vr̥ṇī,True,V.,Earlier,ninth
vli vlī,,vlinā vlīnā,vlinī vlīnī,False,B.,Earlier,ninth
śam,,śamnā,śamnī,True,B.,Earlier,ninth
ścam,,ścamnā,ścamnī,True,V.,Earlier,ninth
śrath,,śrathnā,śrathnī,False,V.,Earlier,ninth
śrī,1,śrīṇā,śrīṇī,False,V.B.,Earlier,ninth
śrī 2,2,śrīṇā,śrīṇī,False,V.B.,Earlier,ninth
si,,sinā,sinī,False,V.B.,Earlier,ninth
subh,,subhnā,subhnī,False,B.,Earlier,ninth
skabh,,skabhnā,skabhnī,False,V.B.,Earlier,ninth
spr̥,,spr̥ṇā,spr̥ṇī,False,B.,Earlier,ninth
hr̥,,hr̥ṇā,hr̥ṇī,False,V.B.,Earlier,ninth
hru,,hrunā,hrunī,False,V.,Earlier,ninth
aś,2,aśnā,aśnī,False,,Earlier & Later,ninth
krī,,krīṇā,krīṇī,False,,Earlier & Later,ninth
gr̥̄ 1,1,gr̥ṇā,gr̥ṇī,False,,Earlier & Later,ninth
grath,,grathnā,grathnī,False,B. +,Earlier & Later,ninth
gr̥h,,gr̥hṇā,gr̥hṇī,False,,Earlier & Later,ninth
jā,,jānā,jānī,False,,Earlier & Later,ninth
pū,,punā,punī,False,,Earlier & Later,ninth
prī,,prīṇā,prīṇī,False,,Earlier & Later,ninth
badh,,badhnā,badhnī,False,,Earlier & Later,ninth
math,,mathnā,mathnī,False,,Earlier & Later,ninth
muṣ,,muṣṇā,muṣṇī,False,,Earlier & Later,ninth
mr̥d,,mr̥dnā,mr̥dnī,False,S. +,Earlier & Later,ninth
lu,,lunā,lunī,False,B. +,Earlier & Later,ninth
vr̥ vr̥̄,2,vr̥ṇā,vr̥ṇī,False,,Earlier & Later,ninth
śr̥,,śr̥ṇā,śr̥ṇī,False,,Earlier & Later,ninth
stabh,,stabhnā,stabhnī,False,,Earlier & Later,ninth
str̥,,str̥ṇā,str̥ṇī,False,,Earlier & Later,ninth
aśⁱ,1,aśnā,aśnī,True,E.,Later,ninth
kuṣ,,kuṣṇā,kuṣṇī,False,C.,Later,ninth
kliś,,kliśnā,kliśnī,False,,Later,ninth
dhu dhū,,dhunā dhūnā,dhunī dhūnī,True,C.,Later,ninth
puṣ,,puṣṇā,puṣṇī,False,,Later,ninth
akṣ,,akṣṇo,akṣṇu,False,V.B.,Earlier,fifth
i 2,,ino,inu,False,V.,Earlier,fifth
u 1,,uno,unu,False,V.,Earlier,fifth
r̥ 1,,r̥ṇo,r̥ṇu,False,V.,Earlier,fifth
kr̥,,kr̥ṇo,kr̥ṇu,False,,Earlier,fifth
kṣubh,,kṣubhno,kṣubhnu,False,B.,Earlier,fifth
ji,,jino,jinu,False,V.B.,Earlier,fifth
takṣ,,takṣṇo,takṣṇu,False,B.S.,Earlier,fifth
dagh,,daghno,daghnu,False,B.,Earlier,fifth
dabh,,dabhno,dabhnu,False,V.B.,Earlier,fifth
dāś,,dāśno,dāśnu,False,V.,Earlier,fifth
pi,,pino,pinu,False,V.B.,Earlier,fifth
pr̥ 1,1,pr̥ṇo,pr̥ṇu,False,S.,Earlier,fifth
pruṣ,,pruṣṇo,pruṣṇu,False,V.,Earlier,fifth
ri,,riṇo,riṇu,False,B.,Earlier,fifth
lu,,luno,lunu,False,B.S.,Earlier,fifth
sagh,,saghno,saghnu,False,V.,Earlier,fifth
si,,sino,sinu,False,V.B.,Earlier,fifth
sadh,,sadhno,sadhnu,False,B.,Earlier,fifth
skabh,,skabhno,skabhnu,False,B.,Earlier,fifth
sku,,skuno,skunu,False,V.,Earlier,fifth
stabh,,stabhno,stabhnu,False,B.,Earlier,fifth
stigh,,stighno,stighnu,False,B.,Earlier,fifth
spr̥,,spr̥ṇo,spr̥ṇu,False,,Earlier,fifth
aś,,aśno,aśnu,False,,Earlier & Later,fifth
āp,,āpno,āpnu,False,,Earlier & Later,fifth
r̥dh,,r̥dhno,r̥dhnu,False,,Earlier & Later,fifth
kṣi,,kṣiṇo,kṣiṇu,False,,Earlier & Later,fifth
ci 1,1,cino,cinu,False,,Earlier & Later,fifth
tr̥p,,tr̥pṇo tr̥pno,tr̥pṇu tr̥pnu,False,V.B.C.,Earlier & Later,fifth
du,,duno,dunu,False,,Earlier & Later,fifth
dhi,,dhino,dhinu,False,B. +,Earlier & Later,fifth
dhu dhū,,dhuno dhūno,dhunu dhūnu,False,C.,Earlier & Later,fifth
dhr̥ṣ,,dhr̥ṣṇo,dhr̥ṣṇu,False,,Earlier & Later,fifth
mi 1,1,mino,minu,False,,Earlier & Later,fifth
mi,2,mino,minu,False,V.C.,Earlier & Later,fifth
rādh,,rādhno,rādhnu,False,B. +,Earlier & Later,fifth
vr̥ ūr,1,vr̥ṇo ūrṇo,vr̥ṇu ūrṇu,False,,Earlier & Later,fifth
vr̥ vr̥̄,2,vr̥ṇo,vr̥ṇu,False,B . +,Earlier & Later,fifth
śak,,śakno,śaknu,False,,Earlier & Later,fifth
śr̥,,śr̥ṇo,śr̥ṇu,False,,Earlier & Later,fifth
su,,suno,sunu,False,,Earlier & Later,fifth
stu,,stuno,stunu,False,B.C.,Earlier & Later,fifth
str̥,,str̥ṇo,str̥ṇu,False,,Earlier & Later,fifth
hi,,hino,hinu,False,,Earlier & Later,fifth
ci,2,cino,cinu,False,,Later,fifth
jagh,,jaghno,jaghnu,False,C.,Later,fifth
ti,,tino,tinu,False,C.,Later,fifth
pr̥,2,pr̥ṇo,pr̥ṇu,False,C.,Later,fifth
